word,definition,derived_from
-a I,"""my"" (1 sg. pron. suff.)",cf. -ī I
-am I,"""to me"" (1 sg. dat. suff.) 2. vent. affix (cf. GAG p.251); cf. -nim",
-atti I,(adv. endings) (cf. GAG §113l),
-iš I,"""to; like"" term.-adv. suffix on subst.s and adj.s; cf. GAG §67",
-ka I,"""you"" (2 m. sg. acc. suff.) (cf. GAG p.258b)",
-ki I,"""you"" (2 f. sg. acc. suff.) (cf. GAG §42g-k)",
-kim I,"""to you"" (2 f. sg. dat. suff.) (cf. GAG §42g-h)",
-kin I,"""your"" (2 f. pl. gen. suff.) (cf. GAG §42g-k)",
-kināti I,"""you"" (2 f. pl. acc. suff.) Bab. (cf. GAG §42g-k); OA dat.",
-kināši I,"""to you"" (2 f. pl. dat. suff.) (cf. GAG §42g-k); jB also acc.",
-ku I,"""to you"" (2 m. sg. dat. suff.)",
-kuni I,"""your"" (2 m. du. gen. suff.) OAkk",
-kunu I,"before -ni, NB after n or m also -gunu  1. ""your"" (2 m. pl. gen. suff.)2. Ass. also ""(to) you"" (2 m. pl. acc., dat. suff.)",
-kunūti I,"""you"" (2 m. pl. acc. suff.) O/jB; OA dat.",
-kunūši I,"also -gunūšu ""to you"" (2 m. pl. dat. suff.) Bab.; M/NB also acc.",
-ma I,"ptcl. and conj. (-me Am.; NA, NB rarely after e or im; NA before - ni (cf. ayyakamēni, matimeni); -mu NB, occas. jB, esp. after u)  1. to stress single words esp. pred. of nominal clause2. ""and"" between main clauses or infin.s, NA rare (cf. GAG §§123a, 126, 158-60 and p.260c)",
-man I,"suff. indicating unreality after stressed word O/jB, esp. in condit. clauses (cf. GAG §§152d, 170h); OA cf. -min",cf. lāman I lūman I šummaman I ulāman I ullāman I
-mi I,suff. in citation of dir. speech (cf. GAG §123c),
-min I,"ptcl. indicating unreality OA, esp. in condit. and final clauses; šumma-min ""if it were that ..."" (cf. GAG §§152d, 162a); O/jB cf. -man",
-munu I,"""(n-)placed; (n-)year-old"" Nuzi;",Hurr. suff. 
-mê I,"after voc. and pron. ""hey!"" jB",
-mê II,"forms indir. interrog. pron.s, ptcl.s etc. in Am., Nuzi, Bogh., Ug. etc.",cf. anummamê I ayyišammê I ayyummê I kīmê I mannummê I matimê I mīnummê I
-mî I,ptcl. in interrog. clauses,
-mā I,interrog. ptcl. O/jB (cf. GAG §123b),
-māku I,"suff. indicating unreality or potentiality Am., Bogh., occas. jB;",Hurr.? 
-na I,"1. OAkk, OB subjunct. suff. GAG §83c2. OB in prohibition after lā",
-ni I,Ass. subjunct. suff.,
-ni II,"""me"" (1 sg. acc. pron. suff.)",
-ni III,"""our"" (1 pl. gen. suff.)",cf. --nīni I
-nim I,"after pl. forms  1. ""to me"" (1 pl. dat. suff.)2. vent. affix; -nim-ni > Bab -ninni, Ass. -nenni",cf. -am I
-niāti I,"""us"" (1 pl. acc. suff.); OA also dat.",
-niāšim I,"""to, for us"" (1 pl. dat. suff.)",
-nâšin I,"""us"" (1 pl. acc. suff.) MA, MB, Bogh.",cf. -niāti I
-nīni I,"""our"" (1 pl. gen. suff.) NB for -ni III",
-u I,loc.-adv. suffix cf. GAG §66,
-ya I,"""my"" (1 sg. pron. suff.) (cf. GAG §42g-k)",cf. -ī I
-ā I,"""my"" (1 sg. pron. suff.) NB for -ī (cf. GAG §42j-k1)",
-ān I,"(ending) cf. GAG p.251b, c",
-ī I,"""my"" (1 sg. pron. suff.) (cf. GAG p.256)",cf. -a I -ā I -ya I
-ša I,"""her"" (3 f. sg. pron. suff. after subst.)",
-šeret I,"""ten"" in compound numerals, e.g. ištēnšeret, šinšeret, hamiššeret;",ešer Icf. -šerīšu I -šerû I
-šerû I,"""...teenth"" in compound numerals, e.g. ištēnšerû, erbēšerû;",ešer Icf. - šeret I
-šerīšu I,"""ten times"" in compound numerals, e.g. ištēnšerīšu, erbēšerīšu;",ešer Icf. -šeret I
-ši I,"""her"" (3 f. sg. acc. suff.) (cf. GAG §42g-k)",
-šim I,"""to her"" (cf. GAG §42g-h)",
-šina I,"""their (f.)"" (cf. GAG §42g-k); Ass. also acc. ""them (f.)""",
-šināt I,"""(to) them (f.)"" (acc., dat.) OAkk, arch. OB",
-šināti I,"""them (f.)"" Bab.; dat. ""to them (f.)"" OA",
-šināši I,"""to them (f.)"" Bab. (cf. GAG §42g, j)",
-šu I,"1. ""his"" (3 m. sg. gen. suff.); in multiplicatives ""times"" cf. e.g. šinīšu; NA ša X-šu ""the X-man"" cf. e.g. šizbu2. ""him"" (3 m. sg. acc. suff.) (cf. GAG §42g-k)",
-šum I,"""to him"" (3 m. sg. dat. suff.), usu. after vent. (cf. GAG §§42g-k, 84b)",
-šunu I,"OAkk, Bab.(poet.) also -šun, OA, O/jB also -šnu, -šuni  1. ""their"" (3 m. pl. gen.)2. ""them"" (3 m. pl. acc.) Ass., also occas. OAkk, O/jB for Bab. -šunūti; MA, jB occas. ""to them"" (dat.); NA also -šanu- before subjunct. -(u)ni",
-šunī I,"""of them two"" (m. du. gen.) OAkk, Am.; ""them two"" (m. du. acc.) OAkk, Am.",
-šunīti I,"""them two"" (m. du. acc.) OAkk",
-šunīšim I,"""to them two"" (m. du. dat.) OAkk",
-šunūti I,"1. ""them"" (3 m. pl. acc. suff.)2. ""to them"" (3 m. pl. dat. suff.)",
-šunūši I,"""to them"" (3 m. pl. dat. suff.)",
A-Eridu I,,
ASARI I,,
Aba I,,
Aba-Ninnu-dari I,,
Aba-gu I,,
Aba-il I,,
Abaliuqunu I,,
Abani I,,
Abaralah I,,
Abarhenŋal I,,
Abat-šarri-uṣur I,,
Abattu I,,
Abaya-ili I,,
Abayu I,,
Abba I,,
Abbagula I,,
Abda I,,
Abdaya I,,
Abdaʾ I,,
Abdi I,,
Abdi-Aguni I,,
Abdi-Azuzi I,,
Abdi-Belanu I,,
Abdi-Dada I,,
Abdi-El I,,
Abdi-Hemmunu I,,
Abdi-Kububi I,,
Abdi-Kurra I,,
Abdi-Milki I,,
Abdi-Ramman I,,
Abdi-Samsi I,,
Abdi-Seʾ I,,
Abdi-Sikuni I,,
Abdi-ilim I,,
Abdudaya I,,
Abdudu I,,
Abdunu I,,
Abetura I,,
Abi-Huru I,,
Abi-Seʾ I,,
Abi-dala I,,
Abi-danu I,,
Abi-ešuh I,,
Abi-hari I,,
