Authors [separate with ; last name first],Year,Title,Additional info (i.e. journal),Topics,Language/dialect,Methods,Data,Project,URL,English abstract for non-English or N/A papers,University,Peer-reviewed,Type,OtherLinks,Review
"Gardin, Jean-Claude; Garelli, Paul ",1961,Étude des établissements assyriens en Cappadoce par ordinateurs,"Annales: Economies, Societes, Civilisations; Annales 16 (5): 837–76",Computational Analysis; SNA,Old Assyrian,Decision trees; Graph Modeling,,Old Assyrian Text Project,,(see Anderson 2018 for more info),,yes,Research Paper,,
"Gardin, Jean-Claude",1965,Reconstructing an Economic Network in the Ancient Near East with the Aid of a Computer,Studies in General Anthropology II,Computational Analysis; SNA,Old Assyrian,Decision trees; Graph Modeling,,Old Assyrian Text Project,,,,yes,Research Paper,,
"Parpola, Simo",1970,Neo-Assyrian Toponyms,Butzon & Bercker,Computer Generated Data,Neo-Assyrian,,,,,,,yes,Research Paper,,
"Buccellati, Giorgio",1977,"The Old Babylonian Linguistic Analysis Project: Goals, Procedures and First Results","Proc. of the international conference on computational linguistics, Pisa",Project description,Old Babylonian,,,The Old Babylonian Linguistic Analysis Project,http://urkesh.org/EL2/Buccellati_1977_Old%20Babylonian%20Ling.%20Analysis_Firenze.pdf,,,yes,Research Paper,,
"Buccellati, Giorgio",1979,Comparative Graphemic Analysis of Old Babylonian and Western Akkadian,"Schaeffer Festschrift Ugarit-Forschungen 11, Neukirchen, pp. 89-100",Computer Generated Data; Graphemic analysis,Old Babylonian,,,The Old Babylonian Linguistic Analysis Project,https://figshare.com/articles/journal%20contribution/Comparative_Graphemic_Analysis_of_Old_Babylonian_and_Western_Akkadian/8288660/1,,,yes,Research Paper,,
"Gelb, Ignace J.",1980,Computer-Aided Analysis of Amorite,"University of Chicago, Assyriological Studies (AS)",Text Mining; Onomasticon,"Neo-Sumerian, Old Babylonian",,,,https://oi.uchicago.edu/research/publications/as/21-computer-aided-analysis-amorite,,,yes,Research Paper,,
"Buccellati, Giorgio",1982,Studies in Ebla Graphemics 1,Studi Eblaiti 5 (1982) pp. 39-74.,Graphemic analysis,Eblaite,Statistical,,,http://urkesh.org/EL2/buccellati_1982_studies_in_ebla_graphemics.pdf,,,yes,Research Paper,,
"Saporetti, Claudio",1984,Graphemic Categorization: The Middle Assyrian Laws,"Cybernetica-Mesopotamica, Undena Publications",Graphemic analysis,Middle Assyrian,Statistical,,,http://undena.com/EL-UP/Saporetti_1984_M_A_Laws_-_GC2.pdf,,,yes,Research Paper,,
Kromholz H.; Sigrist M.,1986,Concordance of the Isin-Larsa Year Names,Andrews University Press,Computer Generated Data,Neo-Sumerian,,,,https://digitalcommons.andrews.edu/cgi/viewcontent.cgi?article=1066&context=books,,,yes,Research Paper,,
"Aktaş Ziya A.; Gürsel, Haluk",1988,Çiviyazısı Metinlerin Uzman Sistemler Yardımıyla Çözülmesi,"5. Türkiye Bilgisayar Kongresi, 6-8 Haziran 1988.",Sign query; transliteration,Hittite,Prolog; Expert Systems,,,,"According to Gürsel and Aktaş (e-mail correspondece with asahala) this paper represents same work as in Gürsel 1988 but in Turkish. The original idea of applying (Turbo) Prolog to Hittite cuneiform came from Prof. Aktaş, who was the supervisor of Gürsel. There's no digital scan available of this paper according to Aktaş.",,yes,Research Paper,,
